name,min,25%,median,mean,75%,max
mechinferred_dt_956_rules,3,3.0,4.0,5.501385041551247,7.0,15
mechinferred_dt_224_rules,3,5.0,9.0,9.293601003764115,13.0,30
mechinferred_dt_112_rules,3,7.0,11.0,12.484241452991453,16.0,70
mechinferred_dt_039_rules,3,9.0,14.5,17.270656993147924,20.0,133
mechinferred_dt_019_rules,3,12.0,24.0,26.11922828543752,35.0,172
rc_plus_0_rules,3,4.0,6.0,6.695736434108527,9.0,15
rc_plus_1_rules,3,6.0,8.0,8.889249373248783,12.0,31
rc_plus_2_rules,3,10.0,12.0,13.41559238796808,17.0,35
rc_plus_3_rules,3,12.0,16.0,17.150462962962962,22.0,44
rc_plus_4_rules,3,14.0,21.0,20.757401953185553,27.0,51
mechinformed_rules,3,4.0,7.0,7.638487208008899,9.0,36
rdchiral_rules,3,8.0,10.0,11.197804431795081,14.0,31
imt_rules,3,3.0,3.0,4.541006394217403,6.0,15
